codedesc,mean,stderr,numinspect
Hotdogs/Pretzels,14.5192307692307692,1.0003916170255,156
Soups & Sandwiches,14.9611992945326279,0.409407368619916,567
Ethiopian,15.3461538461538462,0.425201833030848,286
Donuts,15.5363367313383755,0.14352764563011,6082
Hotdogs,15.5413870246085011,0.439386829122481,447
"Ice Cream, Gelato, Yogurt, Ices",15.9433800400343151,0.195220451425221,3497
Sandwiches,16.4384422110552764,0.145478037924382,6368
"Juice, Smoothies, Fruit Salads",16.8989898989898990,0.238327158501644,2574
Café/Coffee/Tea,17.1255183076814955,0.103456335774139,14229
Sandwiches/Salads/Mixed Buffet,17.1911962365591398,0.220724236843547,2976
Cajun,17.2142857142857143,0.588608648375646,168
Armenian,17.2334494773519164,0.408656646460123,574
Other,17.3927560837577816,0.365021019687117,1767
Hamburgers,17.5123523093447905,0.132404509807306,7448
"Bottled beverages, including water, sodas, juices, etc.",17.8512145748987854,0.404276665817493,988
Egyptian,18.5419354838709677,0.623017409502466,310
English,18.6446540880503145,0.58272764884371,318
Southwestern,19.2113402061855670,0.689035494130791,194
Chicken,19.3176002274665908,0.153411288518464,7034
Scandinavian,20.0833333333333333,0.822216053442913,144
Salads,20.1602209944751381,0.596105062967791,543
Middle Eastern,20.2653538050734312,0.2735928807151,2996
German,20.5703517587939698,0.374512441392954,796
Greek,20.7136997538966366,0.275221264675407,2438
Czech,20.7394957983193277,1.14629020129762,119
Irish,20.8301395788975633,0.203190083771023,4227
Barbecue,20.8593548387096774,0.454478918360549,775
Vegetarian,20.8716465018411362,0.343706466148993,1901
Tex-Mex,20.9158050221565731,0.288883725252968,2708
Pancakes/Waffles,21.0050505050505051,0.688053527672652,396
Moroccan,21.0418250950570342,0.8889892346941,263
Bagels/Pretzels,21.0696292103028588,0.233434769165218,3533
Polish,21.2521865889212828,0.450851831545616,686
American,21.3544906964648244,0.0417131594433381,119202
Pizza,21.3703342278604538,0.091766180801883,24594
Mediterranean,21.5864968152866242,0.247834447659413,3925
Steak,21.6960841613091759,0.389366859487902,1711
Filipino,21.8099630996309963,0.539348763688753,542
Continental,21.9086078639744952,0.453053118641845,941
Indonesian,21.9666666666666667,0.813936014469031,210
French,21.9982881597717546,0.177099747176511,7010
Afghan,22.0797101449275362,0.833111272469865,276
Tapas,22.0937500000000000,0.665922033166075,544
Italian,22.1795240639513378,0.093160336318272,24331
Pizza/Italian,22.1929531848071450,0.139750900477953,10189
Australian,22.2575107296137339,1.12458820638459,233
Not Listed/Not Applicable,22.2627118644067797,1.81589342243509,118
Turkish,22.6700749829584185,0.400467496302992,1467
Jewish/Kosher,22.6756348661633493,0.173425392707418,7285
Brazilian,22.8225039619651347,0.510218379093258,631
Seafood,22.8871544715447154,0.297205787619295,3075
Eastern European,23.0645161290322581,0.399326679065445,1395
Bakery,23.0654289950364211,0.129825669747633,15513
Caribbean,23.0925961849337213,0.126494730140673,15465
Mexican,23.2664262820512821,0.11262608403358,17472
Spanish,23.4485958876710137,0.139414422169912,12499
Soul Food,23.4873096446700508,0.45592555815054,985
Russian,23.5254777070063694,0.391793449530072,1884
Thai,23.5575301204819277,0.176957251189928,6640
Japanese,23.8085913181277944,0.114477234113508,17669
Vietnamese/Cambodian/Malaysia,24.4500000000000000,0.372249074752279,1780
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",24.4995562726906010,0.102777469959477,24790
Delicatessen,24.5195100802081075,0.162354928494379,9226
Korean,24.5334536159975943,0.195302378248458,6651
Peruvian,24.8654906284454245,0.397245602127863,1814
Chinese,24.9176143074067825,0.0681657486193359,59270
Indian,25.0934887256143907,0.202403464670562,7894
Pakistani,25.5921219822109276,0.641514886547044,787
Chinese/Japanese,26.0322327044025157,0.458124030389839,1272
Asian,26.0572285052459463,0.215575991970483,7339
Bangladeshi,26.5866495507060334,0.65418980624005,779
African,26.6588366890380313,0.454865408074696,1788
Portuguese,26.6857142857142857,1.10790220994074,245
Chinese/Cuban,27.4245283018867925,0.821817883815425,424
Creole,30.1454545454545455,0.828039056334079,660
